Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
H Mar,F,27,27y353d,1:05:09,3909,Florence,Chebet Kiplagat,KEN,2/27/1987,,Barcelona ESP,2/15/2015,,
H Mar,F,28,28y214d,1:04:31,3871,Ababel,Yeshaneh,ETH,7/22/1991,RAK Half Marathon,Ras Al Khaimah UAE,2/21/2020,,pending WR
H Mar,F,29,29y31d,1:05:50,3950,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/18/2011,,
H Mar,F,30,30y30d,1:06:49,4009,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/17/2012,,
H Mar,F,31,31y77d,1:05:52,3952,Edith,Chelimo ,KEN,7/16/1986,,Cardiff WAL,10/1/2017,,
H Mar,F,32,32y276d,1:06:07,3967,Gladys,Cherono ,KEN,5/12/1983,RAK Half Marathon,Ras Al Khaimah UAE,2/12/2016,,
H Mar,F,33,33y26d,1:06:02,3962,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/13/2015,,
H Mar,F,34,34y324d,1:07:26,4046,Lydia,Cheromei Kogo,KEN,5/11/1977,,Prague CZE,3/31/2012,,
H Mar,F,35,35y23d,1:05:13,3913,Mary,Keitany Chepkosgei,KEN,1/18/1982,RAK Half Marathon,Ras Al Khaimah UAE,2/10/2017,,
H Mar,F,36,36y19d,1:08:21,4101,Edna,Kiplagat Ngeringwony,KEN,9/15/1979,,Glasgow SCO,10/4/2015,,
H Mar,F,37,37y358d,1:08:55,4135,Valeria,Straneo,ITA,4/5/1976,,Copenhagen DEN,3/29/2014,,
H Mar,F,38,38y364d,1:07:16,4036,Edith,Masai,KEN,4/4/1967,,Berlin GER,4/2/2006,,
H Mar,F,39,39y114d,1:08:48,4128,Christelle,Daunay,FRA,12/5/1974,,Copenhagen DEN,3/29/2014,,
H Mar,F,40,40y195d,1:09:56,4196,Irina,Permitina,RUS,3/2/1968,,Novosibirsk RUS,9/13/2008,,
H Mar,F,41,41y219d,1:09:37,4177,Deena,Kastor,USA,2/14/1973,Rock 'n' Roll Philadelphia Half Marathon,Philadelphia PA USA,9/21/2014,F40-44 AR,
H Mar,F,42,42y14d,1:09:58,4198,Joanne,Pavey,ENG,9/20/1973,,Glasgow SCO,10/4/2015,,
H Mar,F,43,43y240d,1:11:54,4314,Nicole,Leveque,FRA,1/27/1951,,Oslo NOR,9/24/1994,,
H Mar,F,44,44y103d,1:12:03,4323,Colleen,De Ruck,USA,4/15/1964,NYC Half Marathon,"New York, NY",7/27/08,,
H Mar,F,45,45y50d,1:12:04,4324,Nicole,Leveque,FRA,1/27/1951,,Paris FRA,3/17/1996,,
H Mar,F,46,46y166d,1:11:18,4278,Evy,Palm,SWE,1/31/1942,,Ostnor SWE,7/16/1988,,
H Mar,F,47,47y229d,1:15:42,4542,Nicole,Leveque,FRA,1/27/1951,,Grenoble FRA,9/13/1998,,
H Mar,F,48,48y213d,1:15:06,4506,Evy,Palm,SWE,1/31/1942,,Narvik NOR,9/1/1990,,
H Mar,F,49,49y149d,1:13:32,4412,Linda,Somers,USA,5/7/1961,Rock 'n' Roll San Jose Half Marathon,San Jose CA USA,10/3/2010,,
H Mar,F,50,50y176d,1:15:18,4518,Linda,Somers,USA,5/7/1961,Dodge Rock & Roll Half Marathon,Los Angeles CA USA,10/30/2011,,
H Mar,F,51,51y22d,1:16:07,4567,Tatyana,Pozdniakova,UKR,3/4/1955,MORE Half Marathon,New York NY USA,3/26/2006,,
H Mar,F,52,52y52d,1:20:06,4806,Houria,Frechou,FRA,1/19/1960,,Blagnac FRA,3/11/2012,,
H Mar,F,53,53y0d,1:20:13,4813,Sally,Gibbs,NZL,6/5/1963,,Christchurch NZL,6/5/2016,,
H Mar,F,54,54y215d,1:19:48,4788,Silke,Schmidt,GER,8/7/1959,,Den Haag NED,3/9/2014,,
H Mar,F,55,55y214d,1:19:38.4,4779,Silke,Schmidt,GER,8/7/1959,,Den Haag NED,3/8/2015,,
H Mar,F,56,56y9d,1:20:06,4806,Silke,Schmidt,GER,8/7/1959,,Lyon FRA,8/16/2015,,
H Mar,F,57,57y324d,1:24:54,5094,Christine,Kennedy,USA,12/29/1954,Monterey Bay Half Marathon,Monterey CA USA,11/18/2012,,
H Mar,F,58,58y63d,1:24:50,5090,Bernardine,Portenski,NZL,8/26/1949,,Auckland NZL,10/28/2007,,
H Mar,F,59,59y46d,1:25:59.6,5160,Heidrun,Besler,GER,3/4/1956,,Kempton GER,4/19/2015,,
H Mar,F,60,60y284d,1:24:56,5096,Bernardine,Portenski,NZL,8/26/1949,,Christchurch NZL,6/6/2010,,
H Mar,F,61,61y59d,1:26:30.2,5191,Chantal,Langlace,FRA,1/6/1955,,Salouel FRA,3/6/2016,,
H Mar,F,62,62y184d,1:26:53,5213,Stefica,Gajic,SUI,11/12/1948,,Thionville FRA,5/15/2011,,
H Mar,F,63,63y320d,1:27:57,5277,Angela,Copson,ENG,4/20/1947,,Bath ENG,3/6/2011,,
H Mar,F,64,64y195d,1:30:27,5427,Stefica,Gajic,SUI,11/12/1948,,Upice CZE,5/26/2013,,
H Mar,F,65,65y91d,1:32:56,5576,Emmi,Luthi,SUI,3/1/1944,,Aarhus DEN,5/31/2009,,
H Mar,F,66,66y316d,1:34:44,5684,Angela,Copson,ENG,4/20/1947,,Bath ENG,3/2/2014,,
H Mar,F,67,67y200d,1:33:43,5623,Rae,Baymiller,USA,7/27/1943,Hilton Head Half Marathon,Hilton Head SC USA,2/12/2011,,
H Mar,F,68,68y221d,1:37:50,5870,Rae,Baymiller,USA,7/27/1943,,Paris FRA,3/4/2012,,
H Mar,F,69,69y326d,1:35:12,5712,Angela,Copson,ENG,4/20/1947,,Bath ENG,3/12/2017,,
H Mar,F,70,70y121d,1:37:38,5858,Lavinia,Petrie,AUS,9/13/1943,,Bendigo AUS,1/12/2014,,
H Mar,F,71,71y118d,1:37:01,5821,Jeannie,Rice,USA,4/14/1948,Goodyear H Mar,"Akron, OH",8/10/19,OH19021MW,
H Mar,F,72,72y215d,1:45:42,6342,Rimma,Vasina,RUS,10/23/1940,,Upice CZE,5/26/2013,,
H Mar,F,73,73y54d,1:41:00,6060,Lavinia,Petrie,AUS,9/13/1943,,Perth AUS,11/6/2016,,
H Mar,F,74,74y30d,1:49:58,6598,Melitta,Czerwenka,GER,4/30/1930,,Saarlouis GER,5/30/2004,,
H Mar,F,75,75y190d,1:50:00,6600,Gwen,McFarlan,CAN,4/4/1934,,Kelowna BC CAN,10/11/2009,,
H Mar,F,76,76y185d,1:46:08,6368,Libby,James,USA,7/12/1936,,Orlando FL USA,1/13/2013,,
H Mar,F,77,77y337d,1:58:06,7086,Betty Jean,McHugh,CAN,11/7/1927,,Victoria BC CAN,10/9/2005,,
H Mar,F,78,78y104d,1:56:48,7008,Betty Jean,McHugh,CAN,11/7/1927,,Vancouver BC CAN,2/19/2006,,
H Mar,F,79,79y96d,2:05:53.0,7553,Betty Jean,McHugh,CAN,11/7/1927,,Vancouver BC CAN,2/11/2007,,
H Mar,F,80,80y179d,2:04:19,7459,Betty Jean,McHugh,CAN,11/7/1927,,Vancouver BC CAN,5/4/2008,,
H Mar,F,81,81y339d,2:05:20,7520,Betty Jean,McHugh,CAN,11/7/1927,,Victoria BC CAN,10/11/2009,,
H Mar,F,82,82y25d,2:16:06,8166,Deidre,Larkin,GBR,9/24/1931,,Pretoria RSA,10/19/2013,,
H Mar,F,83,83y298d,2:16:27,8187,Deidre,Larkin,GBR,9/24/1931,,Pretoria RSA,7/18/2015,,
H Mar,F,84,84y335d,2:23:36,8616,Betty,McHugh,CAN,11/7/1927,,Victoria BC CAN,10/7/2012,,
H Mar,F,85,85y133d,2:12:37,7957,Deidre,Larkin,RSA,9/24/1931,,Pretoria RSA,2/4/2017,,
H Mar,F,86,86y165d,2:42:57,9777,Margaret,Davis,USA,8/13/1922,Carlsbad Half Marathon,"Carlsbad, CA",1/25/09,,
H Mar,F,87,87y100d,2:43:30,9810,Betty Jean,McHugh,CAN,11/7/1927,,Vancouver BC CAN,2/15/2015,,
H Mar,F,88,88y2d,2:52:36,10356,Margaret,Davis,USA,8/13/1922,Americas Finest City Half Marathon,"San Diego, CA",8/15/10,CA01054RS,
H Mar,F,93,93y109d,4:49:25,17365,Gladys,Burrill,CAN,11/23/1918,,Honolulu HI USA,3/11/2012,,
