Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
15 km,F,34,34y024d,47:20,2840,Deena,Kastor ,USA,2/14/73,Gates River Run 15k ,Jacksonville FL USA,3/10/07,,
15 km,F,35,35y205d,49:24,2964,Janet,Bawcom ,USA,8/22/78,Gates River Run 15k ,Jacksonville FL USA,3/15/14,,
15 km,F,36,36y254d,49:31,2971,Jennifer,Rhines ,USA,7/1/74,Gates River Run 15k ,Jacksonville FL USA,3/12/11,,
15 km,F,37,37y080d,48:54,2934,Edna,Kiplagat Ngeringwony,KEN,9/15/79,,s'Heerenberg NED,12/4/16,,
15 km,F,38,38y106d,48:43,2923,Francie,Larrieu ,USA,11/23/52,Gates River Run 15k ,Jacksonville FL USA,3/9/91,,
15 km,F,39,39y229d,49:02,2942,Edith,Masai ,KEN,4/4/67,,Nijmegen NED,11/19/06,,
15 km,F,40,40y107d,49:35,2975,Priscilla,Welch ,USA,11/22/44,Gates River Run 15k ,Jacksonville FL USA,3/9/85,,
15 km,F,41,41y078d,50:25,3025,Priscilla,Welch ,USA,11/22/44,Gasparilla Distance Classic 15K,Tampa FL USA,2/8/86,,
15 km,F,42,42y246d,50:58,3058,Ramilya,Burangulova ,RUS,7/11/61,Gates River Run 15k ,Jacksonville FL USA,3/13/04,,
15 km,F,43,43y122d,49:55,2995,Nicole,Leveque ,FRA,1/27/51,,La Courneuve FRA,5/29/94,,
15 km,F,44,44y093d,50:49,3049,Nicole,Leveque ,FRA,1/27/51,,La Courneuve FRA,4/30/95,,
15 km,F,45,45y294d,49:48,2988,Evy,Palm ,SWE,1/31/42,,Monte Carlo MON,11/21/87,,
15 km,F,46,46y079d,52:34,3154,Priscilla,Welch ,USA,11/22/44,Gasparilla Distance Classic 15K,Tampa FL USA,2/9/91,,
15 km,F,47,47y005d,51:46,3106,Tatyana,Pozdniakova ,UKR,3/4/55,Gates River Run 15k ,Jacksonville FL USA,3/9/02,,
15 km,F,48,48y256d,51:25,3085,Evy,Palm ,SWE,1/31/42,,Dublin IRL,10/14/90,,
15 km,F,49,49y009d,50:16,3016,Tatyana,Pozdniakova ,UKR,3/4/55,Gates River Run 15k ,Jacksonville FL USA,3/13/04,,
15 km,F,50,50y241d,52:38,3158,Monica,Joyce ,USA,7/16/58,Gates River Run 15k ,Jacksonville FL USA,3/14/09,,
15 km,F,51,51y131d,57:19,3439,Lucy,Brennan ,IRL,1/2/59,,Crozon FRA,5/13/10,,
15 km,F,52,15 kmy52d,55:49,3349,Shirley,Matson,USA,11/7/40,Cascade Run Off 15K,"Portland, OR",6/27/93,RRIC & Andy Carr,
15 km,F,53,53y329d,57:09,3429,Manna,Kwak ,NED,12/14/44,,s'Heerenberg NED,11/8/98,,
15 km,F,54,15 kmy54d,57:52,3472,Marion,Irvine,USA,10/19/29,Avon 15K,"San Francisco, CA",4/8/84,RRIC & Andy Carr,
15 km,F,55,55y238d,59:05,3545,Diane,Legare ,CAN,3/19/51,Stockade-athon 15K,Schenectady NY USA,11/12/06,,
15 km,F,56,,59:35,3575,Cindy,Conant,USA,,Great Allegany Run 15K,"Cumberland, MD",10/7/17,MD11011JS,
15 km,F,57,57y307d,1:01:17,3677,Bronwen,Cardy ,WAL,1/26/52,,Melbourne AUS,11/29/09,,
15 km,F,58,58y341d,1:01:02,3662,Kathryn,Martin ,USA,9/30/51,,Buffalo NY USA,9/6/10,,
15 km,F,59,59y076d,59:51,3591,Christine,Kennedy ,USA,12/29/54,Gates River Run 15k ,Jacksonville FL USA,3/15/14,,
15 km,F,60,60y078d,1:01:25,3685,Kathryn,Martin ,USA,9/30/51,,New York NY USA,12/17/11,,
15 km,F,61,61y165d,1:04:01,3841,Margaret,Saunders ,RSA,9/16/53,,Port Elizabeth RSA,2/28/15,,
15 km,F,62,62y26d,1:00:43,3643,Kathryn,Martin ,USA,9/30/51,USATF Masters 15 km Championships,"Tulsa, OK",10/26/13,Andy Carr,
15 km,F,63,63y125d,1:04:05,3845,Stefica,Gajic ,SUI,11/12/48,,Kerzers SUI,3/17/12,,
15 km,F,64,64y238d,1:05:09,3909,Sabra,Harvey ,USA,3/2/49,USATF Masters 15 km Championships,"Tulsa, OK",10/26/13,OK12087DG,
15 km,F,65,65y156d,1:05:04,3904,Kathryn,Martin ,USA,9/30/51,Caumsett Park 50K (15K split),"Lloyd Neck, NY",3/5/17,F65-69 AR,
15 km,F,66,66y243d,1:07:12,4032,Sabra,Harvey ,USA,3/2/49,USATF Masters 15K Championships,Tulsa OK USA,10/31/15,,
15 km,F,67,67y145d,1:06:43,4003,Rae,Baymiller ,USA,7/27/43,,New York NY USA,12/19/10,,
15 km,F,68,68y240d,1:07:24,4044,Sabra,Harvey ,USA,3/2/49,USATF Masters 15 km Championships,"Tulsa, OK",10/28/17,OK15049KH,
15 km,F,69,,1:10:09,4209,Jeannie,Rice,USA,,USATF Masters 15 km Championships,"Tulsa, OK",10/28/17,OK15049KH,
15 km,F,70,70y204d,1:12:52,4372,Jo,Klein ,NED,5/1/34,,Nijmegen NED,11/21/04,,
15 km,F,71,71y34d,1:17:10,4630,Norma,Thomas ,USA,5/31/42,,Santa Barbara CA USA,7/4/13,,
15 km,F,72,72y202d,1:14:31,4471,Jo,Klein ,NED,5/1/34,,Nijmegen NED,11/19/06,,
15 km,F,73,,1:14:39,4479,Sandra,Baker,USA,,"Gasparilla Distance Classic, 15K","Tampa, FL",2/25/17,FL14014EBM,
15 km,F,74,92y117d,1:16:35,4595,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/26/92,VA01001JS,Uphill P-P
15 km,F,75,93y116d,1:19:27,4767,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/25/93,VA01001JS,Uphill P-P
15 km,F,76,94y115d,1:21:37,4897,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/24/94,VA01001JS,Uphill P-P
15 km,F,77,95y114d,1:19:44,4784,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/23/95,VA01001JS,Uphill P-P
15 km,F,78,96y112d,1:29:21,5361,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/21/96,VA01001JS,Uphill P-P
15 km,F,79,97y111d,1:25:05,5105,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/20/97,VA01001JS,Uphill P-P
15 km,F,80,80y109d,1:25:09,5109,Libby,James ,USA,7/12/36,USATF Masters 15K Championships,Tulsa OK USA,10/29/16,,
15 km,F,81,99y109d,1:27:30,5250,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/18/99,VA01001JS,Uphill P-P
15 km,F,82,100y107d,1:41:55,6115,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/16/00,VA01001JS,Uphill P-P
15 km,F,83,101y113d,1:50:33,6633,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/22/01,VA01001JS,Uphill P-P
15 km,F,84,,1:44:26,6266,Fenya,Crown,USA,,,WA,6/14/97,RRIC,
15 km,F,87,87y124d,2:29:01,8941,Haley,Olson ,USA,11/8/28,,Jacksonville FL USA,3/12/16,,
15 km,F,90,90y336d,2:45:41,9941,Judith,Baizan ,USA,3/21/25,,Tampa FL USA,2/20/16,,
15 km,F,91,91y341d,2:52:59,10379,Judith,Baizan ,USA,3/21/25,,Tampa FL USA,2/25/17,,
15 km,F,92,92y340d,2:38:58,9538,Judith,Baizan ,USA,3/21/25,"Gasparilla Distance Classic, 15K","Tampa, FL",2/24/18,FL14014EBM,
