Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
25 km,M,56,56y186d,1:28:48,5328,Erik-Verner,Ostbye ,SWE,1/25/1921,,Brugge BEL,7/30/1977,,
25 km,M,57,57y24d,1:31:29,5489,Milos,Smrcka ,CZE,7/21/1954,,Zebrak CZE,8/14/2011,,
25 km,M,58,58y364d,1:31:36,5496,Alex,Ratelle ,USA,9/12/1924,City of Lakes 25k,Minneapolis MN USA,9/11/1983,,
25 km,M,59,59y3d,1:34:58,5698,Norman,Eastman ,USA,5/9/1931,River Bank Run 25K,Grand Rapids MI USA,5/12/1990,,
25 km,M,60,60y47d,1:31:41,5501,Brian,Pilcher,USA,8/23/1956,Chicago Marathon (25K split),"Chicago, IL",10/9/2016,Pending M60-64 AR,
25 km,M,61,61y116d,1:35:27,5727,Jim,O'Neil ,USA,5/14/1925,Nike/OTC,Eugene OR USA,9/7/1986,,
25 km,M,62,62y2d,1:36:20,5780,Alex,Ratelle ,USA,9/12/1924,City of Lakes 25k,Minneapolis MN USA,9/14/1986,,
25 km,M,63,63y147d,1:37:53,5873,Ed,Whitlock ,CAN,3/6/1931,,Toronto ON CAN,7/31/1994,,
25 km,M,64,64y306d,1:41:07,6067,Don,Longenecker,USA,3/25/1916,,AZ,1/25/1981,RRIC,
25 km,M,65,65y41d,1:42:58,6178,Jim,Forshee ,USA,3/31/1926,River Bank Run 25K,Grand Rapids MI USA,5/11/1991,,
25 km,M,66,66y4d,1:41:39,6099,Alex,Ratelle ,USA,9/12/1924,City of Lakes 25k,Minneapolis MN USA,9/16/1990,,
25 km,M,67,67y87d,1:44:07,6247,Warren,Utes ,USA,6/25/1920,,Joliet IL USA,9/20/1987,,
25 km,M,68,68y76d,1:42:19,6139,Doug,Goodhue ,USA,2/21/1942,River Bank Run 25K,Grand Rapids MI USA,5/8/2010,,
25 km,M,69,69y43d,1:45:59,6359,Jim,Forshee ,USA,3/31/1926,River Bank Run 25K,Grand Rapids MI USA,5/13/1995,,
25 km,M,70,70y22d,1:39:59,5999,Clive,Davies ,USA,8/17/1915,Nike/OTC,Eugene OR USA,9/8/1985,,
25 km,M,71,71y318d,1:44:11,6251,Warren,Utes ,USA,6/25/1920,River Bank Run 25K,Grand Rapids MI USA,5/9/1992,,
25 km,M,72,72y317d,1:44:32,6272,Warren,Utes ,USA,6/25/1920,River Bank Run 25K,Grand Rapids MI USA,5/8/1993,,
25 km,M,73,73y52d,1:57:31,7051,Lloyd,Young ,USA,7/18/1923,City of Lakes 25k,"Minneapolis, MN",9/8/1996,RRIC & Andy Carr,
25 km,M,74,74y51d,2:04:21,7461,Lloyd,Young ,USA,7/18/1923,City of Lakes 25k,"Minneapolis, MN",9/7/1997,RRIC & Andy Carr,
25 km,M,75,75y117d,1:56:18,6978,Ed,Benham ,USA,7/12/1907,TAC Masters,"Raleigh, NC",11/6/1982,,
25 km,M,76,76y320d,2:01:28,7288,Ed,Benham ,USA,7/12/1907,,Washington DC USA,5/27/1984,,
25 km,M,77,77y81d,1:52:57,6777,Warren,Utes ,USA,6/25/1920,Nat'l Heritage Corridor,"Channahon, IL",9/14/1997,M75-79 AR,
25 km,M,78,78y53d,2:12:04,7924,Lloyd,Young ,USA,7/18/1923,City of Lakes 25k,Minneapolis MN USA,9/9/2001,,
25 km,M,79,79y100d,2:16:33,8193,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/12/2007,,
25 km,M,80,80y91d,2:05:44,7544,Warren,Utes ,USA,6/25/1920,Nat'l Heritage Corridor,"Channahon, IL",9/24/2000,Andy Carr,
25 km,M,81,81y97d,2:22:19,8539,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/9/2009,,
25 km,M,82,82y96d,2:32:05,9125,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/8/2010,,
25 km,M,83,83y185d,2:38:59,9539,Paul,Spangler ,USA,3/18/1899,,Ventura CA USA,9/19/1982,,
25 km,M,84,84y100d,2:38:04,9484,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/12/2012,,
25 km,M,85,85y99d,2:52:55,10375,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/11/2013,net time,
25 km,M,86,86y98d,2:49:52,10192,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/10/2014,,
25 km,M,87,87y97d,3:43:25,13405,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/9/2015,,
25 km,M,88,88y102d,3:35:44,12944,Jerry,Johncock ,USA,2/2/1928,River Bank Run 25K,Grand Rapids MI USA,5/14/2016,,
,,,,,,,,,,,88,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
