Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,Comments,,,,
Marathon,F,61,61y351d,3:6:36,11196,Kimi,Ushiroda ,JPN,2/28/1954,,Nobeoka JPN,2/14/2016,,,,,,
Marathon,F,62,62y353d,3:14:37,11677,Nancy,Will ,RSA,10/2/1952,,Cape Town RSA,9/20/2015,,,,,,
Marathon,F,63,63y241d,3:7:48,11268,Emmi,Luthi ,SUI,3/1/1944,,Lucerne SUI,10/28/2007,,,,,,
Marathon,F,64,64y108d,3:19:18,11958,Yuriko,Tanaka ,JPN,7/31/1944,,Oiso JPN,11/16/2008,,,,,,
Marathon,F,65,65y56d,3:12:57,11577,Emmi,Luthi ,SUI,3/1/1944,,Zurich SUI,4/26/2009,,,,,,
Marathon,F,66,66y162d,3:19:5,11945,Angela,Copson ,ENG,4/20/1947,Berlin Marathon,Berlin GER,9/29/2013,,,,,,
Marathon,F,67,67y229d,3:25:51,12351,Jane,Davies ,ENG,9/7/1948,London Marathon,London ENG,4/24/2016,,,,,,
Marathon,F,68,68y356d,3:24:54,12294,Angela,Copson ,ENG,4/20/1947,,Manchester ENG,4/10/2016,,,,,,
Marathon,F,69,69y184d,3:29:41,12581,Jeannie,Rice ,USA,4/14/1948,Columbus Marathon,"Columbus, OH",10/15/17,F65-69 AR,,,,,
Marathon,F,70,70y176d,3:27:50,12470,Jeannie,Rice ,USA,4/14/1948,Chicago Marathon,Chicago IL USA,10/7/2018,,,,,,
Marathon,F,71,71y168d,3:24:48,12288,Jeannie,Rice ,USA,4/14/1948,Berlin Marathon,Berlin GER,9/29/2019,,,,,,
Marathon,F,72,72y204d,3:35:29,12929,Helga,Miketta ,GER,3/23/1941,,Essen GER,10/13/2013,,,,,,
Marathon,F,73,73y285d,3:42:19,13339,Vera,Nystad ,NOR,12/18/1945,Berlin Marathon,Berlin GER,9/29/2019,,,,,,
Marathon,F,74,74y146d,3:49:31,13771,Helga,Miketta ,GER,3/23/1941,,Lyon FRA,8/16/2015,,,,,,
Marathon,F,75,75y18d,4:5:39,14739,Yoko,Nakano ,JPN,1/12/1936,,Hitachinaka JPN,1/30/2011,,,,,,
Marathon,F,76,76y316d,3:53:42,14022,Yoko,Nakano ,JPN,1/12/1936,,Otawara JPN,11/23/2012,,,,,,
Marathon,F,77,77y214d,4:24:28,15868,Sylvia,Quinn ,USA,10/23/1936,Coeur D'Alene Marathon,Coeur d'Alene ID USA,5/25/2014,,,,,,
Marathon,F,78,78y220d,4:19:52,15592,Sylvia,Quinn ,USA,10/23/1936,Coeur D'Alene Marathon,Coeur d'Alene ID USA,5/31/2015,ID14004DCR,,,,,
Marathon,F,79,79y63d,4:11:50,15110,Yoko,Nakano ,JPN,1/12/1936,,Yokohama JPN,3/15/2015,,,,,,
Marathon,F,80,80y51d,4:12:44,15164,Gwen,McFarlan ,CAN,4/4/1934,,Ottawa ON CAN,5/25/2014,,,,,,
Marathon,F,81,81y45d,4:7:31,14851,Yoko,Nakano ,JPN,1/12/1936,Tokyo Marathon,Tokyo JPN,2/26/2017,,,,,,
Marathon,F,82,82y44d,4:34:4,16444,Yoko,Nakano ,JPN,1/12/1936,Tokyo Marathon,Tokyo JPN,2/25/2018,,,,,,
Marathon,F,83,83y53d,4:51:24,17484,Yoko,Nakano ,JPN,1/12/1936,Tokyo Marathon,Tokyo JPN,3/6/2019,,,,,,
Marathon,F,84,84y94d,5:44:22,20662,Helga-Maria,Kundig ,SUI,6/28/1928,Berlin Marathon,Berlin GER,9/30/2012,,,,,,
Marathon,F,85,85y32d,5:12:3,18723,Betty Jean,McHugh ,CAN,11/7/1927,Honolulu Marathon,Honolulu HI USA,12/9/2012,,,,,,
Marathon,F,86,86y285d,6:31:42,23502,Margaret,Davis ,USA,8/13/1922,,Los Angeles CA USA,5/25/2009,,,,,,
Marathon,F,87,87y183d,7:6:48,25608,Mavis,Lindgren ,USA,4/2/1907,Portland Marathon,Portland OR USA,10/2/1994,,,,,,
Marathon,F,88,88y36d,6:31:32,23492,Betty Jean,McHugh ,CAN,11/7/1927,Honolulu Marathon,Honolulu HI USA,12/13/2015,,,,,,
Marathon,F,89,89y180d,8:9:23,29363,Mavis,Lindgren ,USA,4/2/1907,Portland Marathon,Portland OR USA,9/29/1996,,,,,,
Marathon,F,90,90y33d,6:47:31,24451,Betty Jean,McHugh ,CAN,11/7/1927,Honolulu Marathon,Honolulu HI USA,12/10/2017,,,,,,
Marathon,F,92,92y19d,9:53:48,35628,Gladys,Burrill ,CAN,11/23/1918,Honolulu Marathon,Honolulu HI USA,12/12/2010,,,,,,
